Hora_PC,Temperatura,Humedad,Presion,Altitud,Lluvia
2025-03-24 15:27:35,2.078398239010156,-2.2434619372588087,-2.36075473564879,2.337728303682705,1
2025-03-24 15:28:33,2.1418834879962554,-2.2907034868720944,-2.2878809658727985,2.3059631268621694,1
2025-03-24 15:29:33,2.139123259779467,-2.255459791128849,-2.2878809658727985,2.317728007165881,1
2025-03-24 15:30:33,2.0590766414926476,-2.2824549623364416,-2.36075473564879,2.370669968533441,1
2025-03-24 15:31:33,2.01215276180727,-2.3064506700765226,-2.2878809658727985,2.316551519135681,1
2025-03-24 15:32:33,1.8796618074015008,-2.2824549623364416,-2.36075473564879,2.335375327621877,1
2025-03-24 15:33:33,1.9541879692547475,-2.3034512066090125,-2.36075473564879,2.349493183986417,1
2025-03-24 15:34:34,2.114281205828386,-2.328196780215972,-2.36075473564879,2.335375327621877,1
2025-03-24 15:35:34,2.1612050855137634,-2.310949865277788,-2.2878809658727985,2.2883158064061733,1
2025-03-24 15:36:34,2.070117554359795,-2.3484431586216656,-2.36075473564879,2.3447872318647613,1
2025-03-24 15:37:34,1.9955913925065503,-2.252460327661339,-2.2878809658727985,2.2989041986796854,1
2025-03-24 15:38:34,2.01215276180727,-2.271956840200156,-2.2878809658727985,2.322433959287537,1
2025-03-24 15:39:34,2.0038720771569114,-2.272706706067033,-2.2878809658727985,2.3059631268621694,1
2025-03-24 15:40:34,2.0038720771569114,-2.241212339658176,-2.36075473564879,2.3330223515610493,1
2025-03-24 15:41:34,2.0066323053736976,-2.253210193528217,-2.36075473564879,2.334198839591249,1
2025-03-24 15:42:34,2.0149129900240585,-2.203719046314298,-2.36075473564879,2.353022648077445,1
2025-03-24 15:43:34,2.0480357286255004,-2.2539600593950944,-2.36075473564879,2.342434255803933,1
2025-03-24 15:44:34,2.0038720771569114,-2.2172166319180944,-2.36075473564879,2.355375624138273,1
2025-03-24 15:45:35,1.9873107078561894,-2.1969702535124007,-2.36075473564879,2.3589050882297293,1
2025-03-24 15:46:35,2.0590766414926476,-2.266707779132013,-2.4336285054246782,2.418905977779345,1
